Chamber,Committee,Code,Official_URL,Description
"senate","Finance","","http://www.finance.senate.gov/","Senate Committee on Finance - Chair: Crapo, Mike (R-ID) - Ranking Member: Wyden, Ron (D-OR)"
"senate","Foreign Relations","FR","http://www.foreign.senate.gov/","Senate Committee on Foreign Relations - Chair: Risch, James E. (R-ID) - Ranking Member: Shaheen, Jeanne (D-NH)"
"senate","Health, Education, Labor, and Pensions","HEL","http://www.help.senate.gov/","Senate Committee on Health, Education, Labor, and Pensions - Chair: Cassidy, Bill (R-LA) - Ranking Member: Sanders, Bernard (I-VT)"
"senate","Homeland Security and Governmental Affairs","HSA","http://www.hsgac.senate.gov/","Senate Committee on Homeland Security and Governmental Affairs - Chair: Paul, Rand (R-KY) - Ranking Member: Peters, Gary C. (D-MI)"
"senate","Indian Affairs","IA","http://www.indian.senate.gov/","Senate Committee on Indian Affairs - Chair: Murkowski, Lisa (R-AK) - Ranking Member: Schatz, Brian (D-HI)"
"senate","Joint Committee on Printing","WWW","http://www.senate.gov/general/committee_membership/committee_memberships_JSPR.htm","Senate Committee on Joint Committee on Printing - Chair: McConnell, Mitch (R-KY)"
"senate","Joint Committee on Taxation","","https://www.jct.gov/","Senate Committee on Joint Committee on Taxation - Chair: Crapo, Mike (R-ID)"
"senate","Joint Committee on the Library","WWW","http://www.senate.gov/general/committee_membership/committee_memberships_JSLC.htm","Senate Committee on Joint Committee on the Library - Chair: McConnell, Mitch (R-KY)"
"senate","Joint Economic Committee","JEC","http://www.jec.senate.gov/","Senate Committee on Joint Economic Committee - Chair: Schmitt, Eric (R-MO) - Ranking Member: Hassan, Margaret Wood (D-NH)"
"senate","Judiciary","","http://www.judiciary.senate.gov/","Senate Committee on Judiciary - Chair: Grassley, Chuck (R-IA) - Ranking Member: Durbin, Richard J. (D-IL)"
"senate","Rules and Administration","RAA","http://www.rules.senate.gov/","Senate Committee on Rules and Administration - Chair: McConnell, Mitch (R-KY) - Ranking Member: Padilla, Alex (D-CA)"
"senate","Select Committee on Ethics","SCO","http://www.ethics.senate.gov/","Senate Committee on Select Committee on Ethics - Chair: Lankford, James (R-OK) - Ranking Member: Coons, Christopher A. (D-DE)"
"senate","Select Committee on Intelligence","SCO","http://www.intelligence.senate.gov/","Senate Committee on Select Committee on Intelligence - Chair: Cotton, Tom (R-AR) - Ranking Member: Warner, Mark R. (D-VA)"
"senate","Small Business and Entrepreneurship","SBA","http://www.sbc.senate.gov/","Senate Committee on Small Business and Entrepreneurship - Chair: Ernst, Joni (R-IA) - Ranking Member: Markey, Edward J. (D-MA)"
"senate","Special Committee on Aging","SCO","http://www.aging.senate.gov","Senate Committee on Special Committee on Aging - Chair: Scott, Rick (R-FL) - Ranking Member: Gillibrand, Kirsten E. (D-NY)"
"senate","Veterans' Affairs","VA","http://www.veterans.senate.gov/","Senate Committee on Veterans' Affairs - Chair: Moran, Jerry (R-KS) - Ranking Member: Blumenthal, Richard (D-CT)"
